Energy CH1 (Wh);Energy CH2 (Wh);Energy CH3 (Wh);time
98;71;0;01/12/2018 00:00:00
118;72;0;01/12/2018 01:00:00
87;33;0;01/12/2018 02:00:00
35;15;0;01/12/2018 03:00:00
102;15;0;01/12/2018 04:00:00
35;14;0;01/12/2018 05:00:00
61;14;0;01/12/2018 06:00:00
68;10;0;01/12/2018 07:00:00
36;4;0;01/12/2018 08:00:00
99;14;0;01/12/2018 09:00:00
35;21;0;01/12/2018 10:00:00
291;254;0;01/12/2018 11:00:00
207;154;0;01/12/2018 12:00:00
200;190;0;01/12/2018 13:00:00
519;233;0;01/12/2018 14:00:00
261;65;0;01/12/2018 15:00:00
204;68;0;01/12/2018 16:00:00
81;23;0;01/12/2018 17:00:00
160;53;0;01/12/2018 18:00:00
35;15;0;01/12/2018 19:00:00
25;5;0;01/12/2018 20:00:00
705;53;0;01/12/2018 21:00:00
290;162;0;01/12/2018 22:00:00
152;55;0;01/12/2018 23:00:00
100;15;0;02/12/2018 00:00:00
159;49;0;02/12/2018 01:00:00
40;14;0;02/12/2018 02:00:00
62;13;0;02/12/2018 03:00:00
83;1;0;02/12/2018 04:00:00
37;12;0;02/12/2018 05:00:00
78;14;0;02/12/2018 06:00:00
73;13;0;02/12/2018 07:00:00
27;1;0;02/12/2018 08:00:00
108;12;0;02/12/2018 09:00:00
49;13;0;02/12/2018 10:00:00
73;1;0;02/12/2018 11:00:00
198;139;0;02/12/2018 12:00:00
65;46;0;02/12/2018 13:00:00
565;398;0;02/12/2018 14:00:00
1093;66;0;02/12/2018 15:00:00
255;91;0;02/12/2018 16:00:00
265;106;0;02/12/2018 17:00:00
325;89;0;02/12/2018 18:00:00
151;35;0;02/12/2018 19:00:00
152;14;0;02/12/2018 20:00:00
227;0;0;02/12/2018 21:00:00
375;67;0;02/12/2018 22:00:00
234;120;0;02/12/2018 23:00:00
97;46;0;03/12/2018 00:00:00
92;13;0;03/12/2018 01:00:00
29;12;0;03/12/2018 02:00:00
83;12;0;03/12/2018 03:00:00
45;12;0;03/12/2018 04:00:00
29;13;0;03/12/2018 05:00:00
126;13;0;03/12/2018 06:00:00
98;13;0;03/12/2018 07:00:00
102;59;0;03/12/2018 08:00:00
103;13;0;03/12/2018 09:00:00
30;13;0;03/12/2018 10:00:00
57;12;0;03/12/2018 11:00:00
87;29;0;03/12/2018 12:00:00
25;10;0;03/12/2018 13:00:00
149;64;0;03/12/2018 14:00:00
364;345;0;03/12/2018 15:00:00
98;76;0;03/12/2018 16:00:00
186;98;0;03/12/2018 17:00:00
144;35;0;03/12/2018 18:00:00
343;13;0;03/12/2018 19:00:00
121;12;0;03/12/2018 20:00:00
250;35;0;03/12/2018 21:00:00
120;69;0;03/12/2018 22:00:00
327;269;0;03/12/2018 23:00:00
117;36;0;04/12/2018 00:00:00
31;12;0;04/12/2018 01:00:00
85;12;0;04/12/2018 02:00:00
49;12;0;04/12/2018 03:00:00
30;12;0;04/12/2018 04:00:00
103;13;0;04/12/2018 05:00:00
26;10;0;04/12/2018 06:00:00
161;2;0;04/12/2018 07:00:00
481;44;0;04/12/2018 08:00:00
352;20;0;04/12/2018 09:00:00
348;13;0;04/12/2018 10:00:00
117;93;0;04/12/2018 11:00:00
441;384;0;04/12/2018 12:00:00
89;31;0;04/12/2018 13:00:00
71;42;0;04/12/2018 14:00:00
108;12;0;04/12/2018 15:00:00
131;107;0;04/12/2018 16:00:00
590;82;0;04/12/2018 17:00:00
251;102;0;04/12/2018 18:00:00
259;123;0;04/12/2018 19:00:00
388;143;0;04/12/2018 20:00:00
167;83;0;04/12/2018 21:00:00
262;124;0;04/12/2018 22:00:00
156;82;0;04/12/2018 23:00:00
67;53;0;05/12/2018 00:00:00
105;13;0;05/12/2018 01:00:00
31;12;0;05/12/2018 02:00:00
56;13;0;05/12/2018 03:00:00
81;12;0;05/12/2018 04:00:00
29;12;0;05/12/2018 05:00:00
92;13;0;05/12/2018 06:00:00
91;12;0;05/12/2018 07:00:00
107;65;0;05/12/2018 08:00:00
146;64;0;05/12/2018 09:00:00
38;19;0;05/12/2018 10:00:00
139;50;0;05/12/2018 11:00:00
44;25;0;05/12/2018 12:00:00
62;12;0;05/12/2018 13:00:00
76;12;0;05/12/2018 14:00:00
32;12;0;05/12/2018 15:00:00
97;12;0;05/12/2018 16:00:00
116;12;0;05/12/2018 17:00:00
200;12;0;05/12/2018 18:00:00
73;12;0;05/12/2018 19:00:00
32;12;0;05/12/2018 20:00:00
608;14;0;05/12/2018 21:00:00
343;13;0;05/12/2018 22:00:00
205;13;0;05/12/2018 23:00:00
82;11;0;06/12/2018 00:00:00
82;1;0;06/12/2018 01:00:00
43;13;0;06/12/2018 02:00:00
44;13;0;06/12/2018 03:00:00
90;13;0;06/12/2018 04:00:00
30;12;0;06/12/2018 05:00:00
73;12;0;06/12/2018 06:00:00
59;13;0;06/12/2018 07:00:00
26;7;0;06/12/2018 08:00:00
105;5;0;06/12/2018 09:00:00
404;13;0;06/12/2018 10:00:00
584;13;0;06/12/2018 11:00:00
141;14;0;06/12/2018 12:00:00
64;12;0;06/12/2018 13:00:00
26;11;0;06/12/2018 14:00:00
95;2;0;06/12/2018 15:00:00
28;13;0;06/12/2018 16:00:00
65;13;0;06/12/2018 17:00:00
69;13;0;06/12/2018 18:00:00
30;13;0;06/12/2018 19:00:00
99;9;0;06/12/2018 20:00:00
22;4;0;06/12/2018 21:00:00
